TITLE,PRICE,LOCATION,URL,BEDROOMS,BATHROOMS,SQUARE FEET,TYPE,PARKING INFO,PET FRIENDLY,ADDRESS,SOURCE
3 1/2 à Louer | 1 bedroom for Rent | Sherbrooke,1025,Sherbrooke,https://www.kijiji.ca/v-apartments-condos/sherbrooke-qc/3-1-2-a-louer-1-bedroom-for-rent-sherbrooke/1692886805,1,1,N/A,Apartment,0,N/A,"110 St-François Nord, Sherbrooke, QC, J1E 3H6",Kijiji
Near Toyota-1 bedroom -All Inclusive!! BONUS: 500.00 gift card,1795,"Preston Heights, Cambridge",https://www.kijiji.ca/v-apartments-condos/cambridge/near-toyota-1-bedroom-all-inclusive-bonus:-500-00-gift-card/1673363360,1,1,700 sqft,Apartment,1,N/A,"323 Kitchener Rd, Cambridge, ON",Kijiji
558 SHERBROOK - 1 BR - Available Dec 1st,925,Winnipeg,https://www.kijiji.ca/v-apartments-condos/winnipeg/558-sherbrook-1-br-available-dec-1st/1727869924,1,1,N/A,Apartment,0,N/A,"558 Sherbrook, Winnipeg, MB, R3B 2W8",Kijiji
"Upscale 2-Bedroom Rentals in Ottawa – Starting at $2,675/Month",2675,Ottawa,https://www.kijiji.ca/v-apartments-condos/ottawa/upscale-2-bedroom-rentals-in-ottawa-starting-at-2-675-month/1720014673,2,2,1008 sqft,Apartment,0,N/A,"150 Marketplace Ave, Nepean, ON, K2J 6V2",Kijiji
apartment,1899,"High Park North, City of Toronto",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/apartment/1718850833,0,1,480 sqft,Apartment,0,Yes,"111 Pacific Ave, Toronto, ON M6P 2P2",Kijiji
"For Lease 3 Bedroom 3 Bathrooms, Townhouse",2800,"Oakhill, Brantford",https://www.kijiji.ca/v-apartments-condos/brantford/for-lease-3-bedroom-3-bathrooms-townhouse/1728219773,3,2.5,1452 sqft,Townhouse,2,N/A,"Colborne Street West, Brantford, ON",Kijiji
Modern 1 Bedroom Basement Apartment – North Oakville,1800,"Glenorchy, Oakville",https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/modern-1-bedroom-basement-apartment-north-oakville/1728950951,1,1,1000 sqft,Basement,1,N/A,"Oakville, ON L6H 0V9",Kijiji
Modern Condo With Expansive Private Terrace!,1800,Kitchener / Waterloo,https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/modern-condo-with-expansive-private-terrace/1726532052,1,1,707 sqft,Condo,1,Yes,"55 Duke Street West, Kitchener, ON, N2H 0C9",Kijiji
Basement for rent in Taradale Ne,1100,"Taradale, Calgary",https://www.kijiji.ca/v-apartments-condos/calgary/basement-for-rent-in-taradale-ne/1728950943,2,1,1300 sqft,Basement,1,N/A,"101 Taracove Estate Dr NE, Calgary, AB T3J 4R1",Kijiji
Luxury Condo in DT Toronto for Rent,3600,"Yorkville, Toronto",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-condo-in-dt-toronto-for-rent/1728950852,2,2,900 sqft,Condo,1,Yes,"Davenport Road, Toronto, ON",Kijiji
Basement Apartment for Rent with Parking,1500,"Downtown, Mississauga / Peel Region",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-apartment-for-rent-with-parking/1728950851,1.5,1,800 sqft,Basement,1,Yes,"18 Wellington St W, Brampton, ON L6Y 1K5",Kijiji
Appartement à louer gatineau 2 chambres,1700,"Du Plateau, Gatineau",https://www.kijiji.ca/v-apartments-condos/gatineau/appartement-a-louer-gatineau-2-chambres/1728950850,2,1,1250 sqft,Apartment,1,N/A,"Gatineau, QC J9J 4A6",Kijiji
